Connecting to /dev/ttyUSB0 @ 57600...
HEARTBEAT received: 1, 0t_ms,ch6,alt,roll,pitch,yaw
23534,1000,0.851,0.6,-0.8,-3.4
23746,1000,0.856,0.6,-0.8,-3.4
23909,1000,0.857,0.6,-0.8,-3.4
24127,1000,0.858,0.6,-0.7,-3.4
24342,1000,0.856,0.6,-0.7,-3.4
24556,1000,0.847,0.6,-0.7,-3.4
24719,1000,0.834,0.6,-0.8,-3.4
24935,1000,0.815,0.5,-0.8,-3.4
25154,1000,0.794,0.5,-0.8,-3.4
25317,1000,0.775,0.5,-0.8,-3.4
25532,1000,0.763,0.5,-0.8,-3.3
25746,1000,0.76,0.5,-0.8,-3.3
25910,1000,0.759,0.5,-0.8,-3.3
26128,1000,0.765,0.5,-0.8,-3.3
26346,1000,0.771,0.5,-0.8,-3.3
26508,1000,0.779,0.5,-0.8,-3.3
26723,1000,0.787,0.5,-0.8,-3.3
26936,1000,0.795,0.5,-0.8,-3.3
27154,1000,0.803,0.5,-0.8,-3.3
27317,2000,0.804,0.5,-0.8,-3.3
Arming motors...
[FCU] Warning: Arming Checks Disabled
Armed
Takeoff to 6 m...
29523,2000,-0.004,0.5,-0.8,-3.2
29675,2000,0.0,0.5,-0.8,-3.2
29826,2000,0.006,0.5,-0.8,-3.2
29978,2000,0.013,0.5,-0.8,-3.2
30130,2000,0.019,0.5,-0.8,-3.2
30282,2000,0.026,0.5,-0.8,-3.2
30434,2000,0.035,0.4,-0.8,-3.2
30586,2000,0.043,0.4,-0.8,-3.1
30738,2000,0.053,0.4,-0.8,-3.1
30890,2000,0.066,0.4,-0.8,-3.1
31042,2000,0.08,0.4,-0.8,-3.1
31194,2000,0.089,0.4,-0.8,-3.1
31346,2000,0.09,0.5,-0.8,-3.0
31498,2000,0.09,0.5,-0.8,-3.0
31650,2000,0.088,0.5,-0.7,-2.9
31802,2000,0.081,0.4,-0.3,-2.2
31954,2000,0.08,-0.6,0.1,-0.6
32106,2000,0.111,-1.3,-0.4,0.8
32258,2000,0.18,-0.1,-0.6,2.0
32410,2000,0.3,-0.0,0.3,3.0
32562,2000,0.47,-1.2,0.3,3.2
[FCU] EKF3 IMU0 MAG0 ground mag anomaly, yaw re-aligned
32764,2000,0.687,-0.9,0.4,51.8
[FCU] EKF3 IMU1 MAG0 ground mag anomaly, yaw re-aligned
32967,2000,0.953,-0.9,0.7,52.4
33119,2000,1.259,-1.1,0.8,51.7
33271,2000,1.616,-1.9,0.7,50.8
33423,2000,2.015,-1.7,-0.1,49.5
33575,2000,2.445,-0.9,0.0,47.7
[FCU] EKF3 IMU1 MAG0 in-flight yaw alignment complete
[FCU] EKF3 IMU0 MAG0 in-flight yaw alignment complete
33829,2000,2.875,-0.5,0.2,32.6
33981,2000,3.281,-0.5,-0.5,33.5
34133,2000,3.654,0.5,-0.9,34.7
34285,2000,3.986,0.3,-0.7,35.5
34437,2000,4.279,0.4,0.1,35.8
34589,2000,4.535,-0.0,0.3,36.2
34791,2000,4.764,-0.2,0.2,36.6
34993,2000,4.977,1.1,-0.1,36.3
35195,2000,5.18,0.3,0.1,35.5
35398,2000,5.363,-0.0,-0.3,35.4
35600,2000,5.528,1.1,-0.2,34.1
35752,2000,5.67,0.2,0.6,33.4
35954,2000,5.786,-0.2,0.8,33.8
40479,2000,5.875,0.2,0.0,34.0
40489,2000,5.94,0.1,0.5,33.8
40524,2000,5.977,-0.2,0.6,33.8
40568,2000,5.992,0.3,0.5,33.5
40591,2000,5.994,0.5,0.3,33.5
40625,2000,5.987,0.0,0.6,33.6
40659,2000,5.979,0.1,1.0,33.7
40703,2000,5.973,-0.2,0.5,34.1
40726,2000,5.976,-1.6,1.0,34.8
40760,2000,5.983,-3.2,1.1,35.7
40794,2000,5.993,-2.4,0.6,36.0
40838,2000,6.003,-1.8,-0.3,36.0
40861,2000,6.007,-1.4,-1.1,35.2
40895,2000,6.014,-2.0,-1.0,33.8
40929,2000,6.019,-2.6,-1.1,32.6
40974,2000,6.022,-2.6,-1.0,31.8
40996,2000,6.022,-2.7,-0.9,32.2
41030,2000,6.016,-2.3,-1.5,32.7
41064,2000,6.002,-2.2,-1.7,33.6
41109,2000,5.987,-2.3,-1.1,34.9
41132,2000,5.978,-0.8,-1.5,35.4
41165,2000,5.97,-0.4,-1.6,34.4
41200,2000,5.961,-0.9,-0.6,32.8
41244,2000,5.954,-1.9,0.4,31.5
41267,2000,5.939,-0.9,0.4,30.5
41301,2000,5.902,-0.4,0.6,30.5
41335,2000,5.85,-0.1,0.5,31.3
41481,2000,5.793,-0.6,0.1,32.7
41672,2000,5.743,-1.4,0.2,34.2
41876,2000,5.703,-1.9,-0.1,34.7
42067,2000,5.659,-2.7,-0.4,34.7
42281,2000,5.61,-2.7,0.5,35.4
42472,2000,5.563,-2.6,0.5,36.0
42686,2000,5.523,-2.0,-2.2,35.5
42878,2000,5.491,-0.4,-2.1,35.4
43092,2000,5.469,0.3,-1.2,35.8
43272,2000,5.445,0.4,-1.7,35.8
43464,2000,5.411,1.6,-1.4,35.5
43678,2000,5.381,1.6,0.0,34.6
43869,2000,5.356,1.1,-0.5,33.5
44083,2000,5.334,2.4,-0.2,33.0
44275,2000,5.307,2.8,1.1,32.8
44489,2000,5.283,2.1,1.1,32.9
44681,2000,5.271,1.1,2.0,32.7
44861,2000,5.258,1.4,3.0,31.3
45075,2000,5.236,1.7,2.8,29.2
45266,2000,5.205,1.1,2.6,28.1
45481,2000,5.167,1.2,2.1,27.6
45672,2000,5.127,1.7,1.1,28.2
45864,2000,5.092,0.1,0.8,28.0
46078,2000,5.061,-0.3,1.7,26.4
46292,2000,5.039,-0.9,1.8,24.2
46472,2000,5.023,-1.6,1.3,23.1
46663,2000,5.008,-2.2,1.6,24.2
46878,2000,5.006,-2.7,0.5,27.3
47069,2000,5.014,-2.6,-0.2,30.4
47283,2000,5.022,-2.8,0.2,31.3
47475,2000,5.029,-3.4,0.2,31.2
47689,2000,5.034,-4.3,0.1,30.3
47880,2000,5.042,-4.3,0.2,29.2
48060,2000,5.047,-3.5,-0.4,28.6
48275,2000,5.055,-2.3,-1.0,28.4
48466,2000,5.06,-1.8,-1.5,28.6
48681,2000,5.063,-1.5,-1.4,29.6
48872,2000,5.056,-1.2,-1.5,30.8
49086,2000,5.043,-0.7,-1.2,32.0
49277,2000,5.03,0.5,-0.4,32.6
49491,2000,5.02,0.8,-0.2,32.4
49672,2000,5.002,1.2,-0.4,32.3
49852,2000,4.984,1.6,-0.6,32.4
50078,2000,4.972,0.6,-0.3,32.5
50269,2000,4.965,-0.2,0.3,32.7
