Connecting to /dev/serial/by-id/usb-FTDI_FT232R_USB_UART_A5XK3RJT-if00-port0 @ 57600...
HEARTBEAT received: 0, 0
t_ms,ch6,alt,roll,pitch,yaw
289,1000,0.876,0.3,0.1,-35.3
392,1000,0.875,0.3,0.1,-35.3
494,1000,0.875,0.3,0.1,-35.3
576,1000,0.876,0.3,0.1,-35.3
658,1000,0.875,0.3,0.1,-35.3
781,1000,0.876,0.3,0.1,-35.3
884,1000,0.875,0.3,0.1,-35.3
966,1000,0.876,0.3,0.1,-35.3
1088,1000,0.876,0.2,0.1,-35.3
1191,1000,0.874,0.2,0.1,-35.3
1293,1000,0.873,0.3,0.1,-35.3
1375,1000,0.872,0.3,0.1,-35.3
1457,1000,0.872,0.3,0.1,-35.4
1580,1000,0.873,0.3,0.1,-35.3
1682,1000,0.875,0.3,0.1,-35.3
1788,1000,0.88,0.3,0.1,-35.3
1855,1000,0.884,0.3,0.1,-35.3
1978,1000,0.889,0.3,0.1,-35.3
2080,1000,0.893,0.3,0.1,-35.3
2182,1000,0.897,0.2,0.1,-35.3
2270,1000,0.901,0.3,0.1,-35.3
2378,1000,0.904,0.3,0.1,-35.3
2490,1000,0.906,0.3,0.1,-35.3
2590,1000,0.908,0.2,0.1,-35.2
2687,1000,0.908,0.2,0.2,-35.2
2759,1000,0.904,0.2,0.2,-35.2
2901,1000,0.899,0.2,0.1,-35.2
2989,1000,0.895,0.2,0.1,-35.3
3071,1000,0.89,0.2,0.1,-35.3
3153,1000,0.888,0.2,0.1,-35.3
3276,1000,0.885,0.2,0.2,-35.3
3379,1000,0.88,0.2,0.2,-35.3
3481,1000,0.876,0.2,0.2,-35.3
3585,1000,0.875,0.2,0.2,-35.3
3696,1000,0.875,0.2,0.2,-35.3
3778,1000,0.874,0.2,0.2,-35.3
3881,1000,0.873,0.2,0.2,-35.3
3983,1000,0.875,0.2,0.2,-35.3
4086,1000,0.876,0.2,0.2,-35.3
4168,1000,0.877,0.2,0.2,-35.3
4293,1000,0.876,0.2,0.2,-35.3
4376,1000,0.874,0.2,0.2,-35.3
4479,1000,0.872,0.2,0.2,-35.3
4581,1000,0.869,0.2,0.2,-35.3
4663,1000,0.867,0.2,0.2,-35.3
4786,1000,0.866,0.2,0.2,-35.3
4889,1000,0.867,0.2,0.2,-35.3
4991,1000,0.867,0.2,0.2,-35.3
5073,1000,0.866,0.2,0.2,-35.3
5155,1000,0.865,0.2,0.2,-35.3
5278,1000,0.866,0.2,0.2,-35.3
5381,1000,0.868,0.2,0.2,-35.3
5484,1000,0.869,0.2,0.2,-35.3
5566,1000,0.87,0.2,0.2,-35.3
5669,1000,0.871,0.2,0.2,-35.3
5792,1000,0.875,0.2,0.2,-35.3
5874,1000,0.88,0.2,0.2,-35.3
5977,1000,0.883,0.2,0.2,-35.3
6079,1000,0.885,0.2,0.2,-35.3
6182,1000,0.886,0.2,0.2,-35.3
6264,1000,0.887,0.2,0.2,-35.3
6386,1000,0.891,0.2,0.2,-35.3
6489,1000,0.894,0.2,0.2,-35.3
6592,1000,0.896,0.2,0.2,-35.3
6675,1000,0.897,0.2,0.2,-35.3
6757,1000,0.898,0.2,0.2,-35.3
6880,1000,0.9,-0.1,0.3,-35.8
6982,1000,0.911,-2.2,0.7,-38.6
7085,1000,0.931,-6.1,2.1,-44.1
7167,1000,0.965,-9.7,6.5,-52.3
7270,1000,1.022,-10.5,9.9,-62.0
7393,1000,1.106,-11.6,13.2,-71.4
7495,1000,1.221,-15.4,16.7,-81.1
7577,1000,1.349,-18.3,17.5,-90.3
7659,1000,1.475,-19.2,15.1,-99.7
7782,1000,1.572,-16.8,9.9,-109.3
7884,1000,1.64,-12.0,4.0,-118.4
7987,1000,1.674,-5.9,-0.1,-127.0
8069,1000,1.689,-1.1,0.1,-135.4
8151,1000,1.688,2.0,2.1,-143.8
8294,1000,1.683,3.1,3.2,-153.4
8376,1000,1.684,2.4,3.1,-164.0
8478,1000,1.677,2.0,3.7,-176.3
8581,1000,1.66,0.3,6.2,170.1
8662,1000,1.635,-3.5,9.5,155.1
8786,1000,1.616,-8.8,12.9,139.7
8889,1000,1.615,-12.4,14.2,123.1
8972,1000,1.636,-13.3,12.6,108.9
9075,1000,1.659,-11.5,9.7,97.4
9177,1000,1.672,-9.5,6.2,89.6
9280,1000,1.667,-10.0,3.7,83.5
9363,1000,1.656,-12.2,3.7,79.1
9485,1000,1.643,-15.0,6.3,76.0
9588,1000,1.641,-17.5,7.9,74.2
9691,1000,1.654,-16.8,6.8,74.0
9780,1000,1.682,-13.8,7.6,76.3
9864,1000,1.706,-10.4,7.5,79.6
9987,1000,1.719,-10.4,5.7,80.5
10090,1000,1.718,-12.8,5.3,79.8
10172,1000,1.72,-17.8,5.5,75.7
10254,1000,1.732,-18.3,6.2,71.1
10376,1000,1.754,-15.2,7.3,68.8
10479,1000,1.769,-13.5,7.1,68.2
10581,1000,1.778,-15.0,6.7,67.6
10684,1000,1.778,-19.1,6.3,67.8
10766,1000,1.776,-23.1,4.7,68.6
10889,1000,1.786,-24.9,6.7,69.6
10991,1000,1.801,-24.3,9.7,70.5
11094,1000,1.816,-22.2,11.3,73.6
11176,1000,1.834,-19.6,11.0,78.2
11279,1000,1.848,-19.9,9.6,81.6
11362,1000,1.868,-22.2,8.3,83.2
11484,1000,1.887,-22.4,6.9,82.8
11587,1000,1.907,-20.5,7.8,81.9
11690,1000,1.926,-17.9,10.0,81.9
11772,1000,1.933,-16.5,11.8,82.1
11854,1000,1.929,-14.8,11.6,83.0
11997,1000,1.926,-13.9,12.2,85.3
12079,1000,1.932,-14.3,13.7,87.2
12161,1000,1.948,-12.4,13.8,88.6
12284,1000,1.967,-13.0,14.7,89.7
12387,1000,1.988,-11.7,14.4,90.6
12490,1000,2.0,-11.0,13.6,90.4
12572,1000,2.011,-11.2,12.9,89.0
12654,1000,2.027,-13.5,12.1,87.0
12777,1000,2.046,-12.5,9.9,86.2
12880,1000,2.061,-12.5,9.5,90.0
12982,1000,2.074,-11.6,9.5,96.6
13064,1000,2.069,-11.5,9.3,104.1
13187,1000,2.059,-13.6,11.2,111.5
13289,1000,2.052,-15.2,12.8,118.3
13372,1000,2.055,-14.7,12.5,123.6
13454,1000,2.061,-12.1,12.1,128.2
13576,1000,2.065,-11.5,12.9,131.7
13680,1000,2.061,-12.8,12.7,134.0
Setting mode GUIDED...
Mode = GUIDED
13886,1000,2.033,-17.4,13.7,135.8
13955,1000,2.033,-20.0,14.9,136.0
14089,1000,2.043,-20.9,14.9,137.2
14197,1000,2.06,-20.3,13.1,141.3
14271,1000,2.078,-19.6,9.0,149.1
14362,1000,2.105,-19.7,4.4,159.7
14497,1000,2.123,-17.5,0.5,174.3
14595,1000,2.115,-16.4,-2.2,-169.1
14690,1000,2.064,-14.5,-2.9,-150.5
14765,1000,1.98,-11.2,-0.5,-136.0
14905,1000,1.881,-9.6,4.5,-129.6
14979,1000,1.793,-8.9,7.3,-128.8
15100,1000,1.711,-9.5,8.1,-128.7
15196,1000,1.658,-9.0,8.5,-129.7
15291,1000,1.611,-6.2,9.5,-134.2
15389,1000,1.582,-4.5,10.2,-142.8
15461,1000,1.559,-3.3,9.1,-152.4
15584,1000,1.551,-2.0,7.4,-160.2
15699,1000,1.547,-0.6,4.9,-165.9
15773,1000,1.545,-0.3,4.4,-169.3
15868,1000,1.542,-1.7,5.4,-171.5
15987,1000,1.548,-2.4,3.6,-170.3
16081,1000,1.559,-3.3,2.0,-165.5
16199,1000,1.574,-4.3,-0.1,-157.2
16272,1000,1.589,-4.8,-3.4,-141.8
16367,1000,1.595,-7.2,-7.0,-119.8
16486,1000,1.591,-14.3,-9.0,-97.9
16584,1000,1.568,-15.0,-8.7,-76.1
16702,1000,1.543,-13.6,-4.4,-54.4
16777,1000,1.497,-15.6,0.4,-33.7
16864,1000,1.455,-14.8,0.8,-18.2
16999,1000,1.411,-11.8,5.5,-5.8
17095,1000,1.37,-7.6,6.7,3.9
17190,1000,1.323,-6.1,3.7,8.7
17288,1000,1.28,-3.3,1.4,9.6
17361,1000,1.237,-0.1,1.1,7.5
17501,1000,1.205,0.2,-0.3,6.5
17601,1000,1.175,0.2,-0.2,6.5
17697,1000,1.147,0.2,-0.2,6.6
17773,1000,1.122,0.2,-0.2,6.6
17869,1000,1.102,0.2,-0.2,6.6
17988,1000,1.079,0.2,-0.2,6.6
18083,1000,1.059,0.2,-0.2,6.5
18201,1000,1.037,0.2,-0.2,6.5
18274,1000,1.022,0.2,-0.2,6.5
18369,1000,1.009,0.2,-0.2,6.5
18488,1000,1.0,0.2,-0.2,6.6
18589,1000,0.993,0.2,-0.2,6.5
18685,1000,0.988,0.2,-0.2,6.5
18758,1000,0.983,0.2,-0.1,6.5
18898,1000,0.978,0.2,-0.1,6.5
18993,1000,0.974,0.2,-0.1,6.5
19090,1000,0.972,0.3,-0.1,6.6
19187,1000,0.973,0.3,-0.1,6.6
19260,1000,0.972,0.4,-0.1,6.7
19399,1000,0.969,0.4,-0.3,7.0
19494,1000,0.963,0.3,-0.1,6.2
19597,1000,0.959,0.3,-0.2,6.5
19671,1000,0.956,0.3,-0.1,6.5
19766,1000,0.956,0.3,-0.1,6.5
19883,1000,0.956,0.3,-0.1,6.5
20001,1000,0.956,0.3,-0.1,6.5
20084,1000,0.956,0.3,-0.1,6.5
20170,1000,0.96,0.3,-0.1,6.5
20283,1000,0.962,0.3,-0.1,6.5
20401,1000,0.962,0.3,-0.1,6.5
20497,1000,0.963,0.3,-0.1,6.5
20573,1000,0.966,0.3,-0.1,6.5
20667,1000,0.967,0.3,-0.1,6.5
20783,1000,0.969,0.3,-0.1,6.5
