Connecting to /dev/serial/by-id/usb-FTDI_FT232R_USB_UART_A5XK3RJT-if00-port0 @ 57600...
HEARTBEAT received: 0, 0
t_ms,ch6,alt,roll,pitch,yaw
13335,1000,-0.041,-5.9,0.5,-33.5
Setting mode GUIDED...
Mode = GUIDED
13450,1000,-0.058,-6.8,-0.9,-34.4
13544,1000,-0.081,-6.2,-2.2,-33.7
13637,1000,-0.09,-4.4,-2.8,-31.0
13733,1000,-0.085,-2.8,-2.1,-29.8
13825,1000,-0.085,-2.4,-0.4,-28.7
13934,1000,-0.098,-3.5,0.8,-27.4
14053,1000,-0.115,-3.2,0.9,-26.8
14148,1000,-0.118,-1.3,1.0,-28.3
14243,1000,-0.104,1.1,2.3,-30.9
14317,1000,-0.092,0.5,3.8,-32.4
14455,1000,-0.093,-1.0,3.9,-33.2
14533,1000,-0.107,-3.1,3.1,-33.1
14608,1000,-0.125,-4.8,1.4,-33.2
14747,1000,-0.134,-1.6,-0.3,-34.3
14845,1000,-0.136,2.2,-0.4,-33.5
14941,1000,-0.144,2.7,2.2,-27.7
15038,1000,-0.16,4.7,6.1,-19.8
15111,1000,-0.185,6.3,10.3,-12.3
15251,1000,-0.212,9.5,15.8,-2.3
15343,1000,-0.239,13.1,19.5,11.0
15426,1000,-0.281,14.3,18.6,25.9
15508,1000,-0.348,14.6,13.3,42.4
15638,1000,-0.444,10.6,6.5,59.8
15755,1000,-0.572,7.1,2.7,76.8
15828,1000,-0.698,7.7,1.6,91.7
15923,1000,-0.794,7.0,1.6,104.6
16041,1000,-0.856,3.9,1.8,112.9
16136,1000,-0.9,2.5,1.7,117.4
16232,1000,-0.93,3.3,0.9,120.5
16327,1000,-0.943,4.0,0.1,123.1
16445,1000,-0.942,3.7,0.2,124.3
16544,1000,-0.948,1.1,0.2,125.2
16642,1000,-0.952,-0.5,0.6,125.3
16739,1000,-0.954,-0.6,0.4,125.2
16810,1000,-0.956,-0.7,0.5,125.2
16947,1000,-0.955,-0.7,0.5,125.2
17044,1000,-0.953,-0.7,0.5,125.2
17141,1000,-0.953,-0.7,0.5,125.2
17213,1000,-0.956,-0.7,0.5,125.2
17352,1000,-0.963,-0.7,0.5,125.1
17447,1000,-0.973,-0.7,0.5,125.1
17547,1000,-0.981,-0.7,0.4,125.1
17643,1000,-0.987,-0.7,0.4,125.1
17736,1000,-0.992,-0.7,0.4,125.1
17855,1000,-0.999,-0.7,0.4,125.1
17927,1000,-1.006,-0.7,0.4,125.1
18023,1000,-1.013,-0.7,0.4,125.1
18139,1000,-1.019,-0.7,0.4,125.1
18236,1000,-1.024,-0.7,0.4,125.1
18332,1000,-1.028,-0.7,0.4,125.1
18405,1000,-1.032,-0.7,0.4,125.1
18548,1000,-1.036,-0.8,0.4,125.1
18642,1000,-1.04,-0.8,0.4,125.1
18739,1000,-1.041,-0.8,0.4,125.0
18836,1000,-1.043,-0.8,0.4,125.0
18909,1000,-1.046,-0.8,0.4,125.0
19039,1000,-1.049,-0.8,0.4,125.0
19135,1000,-1.051,-0.8,0.4,125.0
19253,1000,-1.055,-0.8,0.4,125.0
19348,1000,-1.057,-0.8,0.4,125.0
19442,1000,-1.057,-0.8,0.4,125.0
19543,1000,-1.056,-0.8,0.4,125.0
19616,1000,-1.054,-0.8,0.3,125.0
19755,1000,-1.05,-0.8,0.3,125.0
19852,1000,-1.048,-0.8,0.3,125.0
19947,1000,-1.046,-0.8,0.3,125.0
20047,1000,-1.043,-0.8,0.3,125.0
20142,1000,-1.04,-0.8,0.3,125.0
20237,1000,-1.037,-0.8,0.3,125.0
20354,1000,-1.035,-0.8,0.3,125.0
20427,2000,-1.034,-0.8,0.3,125.0
Arming motors...
[FCU] Warning: Arming Checks Disabled
Armed
Takeoff to 2 m...
22942,2000,0.01,-0.8,0.3,125.0
23004,2000,0.012,-0.8,0.3,124.9
23065,2000,0.016,-0.8,0.3,124.9
23127,2000,0.022,-0.9,0.3,124.9
23189,2000,0.028,-0.9,0.2,124.9
23250,2000,0.035,-0.9,0.2,124.9
23312,2000,0.044,-0.9,0.2,124.9
23374,2000,0.056,-0.9,0.3,124.9
23435,2000,0.068,-0.9,0.3,124.9
23497,2000,0.08,-0.9,0.3,124.9
23559,2000,0.092,-0.9,0.3,124.9
23621,2000,0.104,-0.9,0.3,124.9
23682,2000,0.116,-0.9,0.3,124.9
23744,2000,0.129,-0.9,0.3,124.8
23806,2000,0.142,-0.9,0.3,124.8
23867,2000,0.157,-0.9,0.3,124.8
23929,2000,0.171,-0.9,0.3,124.8
23991,2000,0.186,-0.9,0.2,124.8
24052,2000,0.2,-0.9,0.2,124.8
24114,2000,0.216,-0.9,0.2,124.8
24176,2000,0.231,-0.9,0.2,124.8
24237,2000,0.246,-0.9,0.2,124.8
24299,2000,0.26,-0.9,0.2,124.8
24361,2000,0.275,-0.9,0.2,124.8
24422,2000,0.288,-0.9,0.5,124.8
24484,2000,0.301,-0.8,0.5,124.9
24546,2000,0.313,-0.2,-0.1,124.9
24607,2000,0.322,-0.2,-0.2,125.3
24669,2000,0.332,0.0,-0.2,126.1
24731,2000,0.344,0.4,-0.2,127.4
24792,2000,0.364,1.2,0.0,129.3
24854,2000,0.396,1.1,-0.1,131.2
24916,2000,0.442,0.6,0.1,132.9
24978,2000,0.506,-0.1,0.1,134.4
25039,2000,0.587,-0.1,-0.3,135.6
25101,2000,0.683,0.5,0.1,136.4
25163,2000,0.786,1.3,0.8,136.7
25224,2000,0.896,1.5,1.0,136.6
25326,2000,1.003,1.5,0.8,136.0
25408,2000,1.104,1.2,0.7,135.0
25531,2000,1.209,0.5,0.4,133.8
25633,2000,1.311,0.6,0.5,132.5
