Connecting to /dev/ttyUSB0 @ 57600...
HEARTBEAT: 1, 0CH6=1000
Alt = -0.107 m
CH6=1000
Alt = -0.113 m
CH6=1000
Alt = -0.322 m
CH6=1000
Alt = -0.367 m
CH6=1000
Alt = -0.288 m
CH6=1000
Alt = -0.113 m
CH6=1000
Alt = -0.271 m
CH6=1000
Alt = -0.282 m
CH6=1000
Alt = -0.169 m
CH6=1000
Alt = -0.333 m
CH6=1000
Alt = -0.446 m
CH6=1000
Alt = -0.395 m
CH6=1000
Alt = -0.474 m
CH6=1000
Alt = -0.316 m
CH6=1000
Alt = -0.322 m
CH6=1000
Alt = -0.389 m
CH6=1000
Alt = -0.344 m
CH6=1000
Alt = -0.616 m
CH6=1000
Alt = -0.293 m
CH6=1000
Alt = -0.401 m
CH6=1000
Alt = -0.158 m
CH6=1000
Alt = -0.276 m
CH6=1000
Alt = -0.163 m
CH6=1000
Alt = -0.113 m
CH6=1000
Alt = -0.226 m
CH6=1000
Alt = -0.129 m
CH6=1000
Alt = -0.389 m
CH6=1000
Alt = -0.395 m
CH6=1000
Alt = -0.152 m
CH6=1000
Alt = 0.002 m
CH6=1000
Alt = -0.096 m
