Connecting to /dev/ttyUSB0 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,roll,pitch,yaw
203,1000,0.18,0.2,1.2,4.9
355,1000,0.19,0.2,1.2,4.9
507,1000,0.199,0.2,1.2,4.9
659,1000,0.206,0.2,1.2,4.9
810,1000,0.213,0.2,1.2,4.9
963,1000,0.22,0.2,1.2,4.9
1114,1000,0.229,0.2,1.2,4.9
1266,1000,0.237,0.2,1.2,4.9
1418,1000,0.244,0.2,1.2,4.9
1570,1000,0.252,0.2,1.2,4.9
1722,1000,0.259,0.1,1.2,4.9
1882,1000,0.266,0.1,1.2,4.9
2048,1000,0.272,0.1,1.2,4.9
2212,1000,0.278,0.1,1.2,4.9
2375,1000,0.283,0.1,1.2,4.9
2628,1000,0.288,0.1,1.2,4.9
2780,1000,0.295,0.1,1.2,4.8
2932,1000,0.3,0.1,1.2,4.8
3088,1000,0.309,0.1,1.2,4.8
3250,1000,0.314,0.1,1.2,4.8
3416,1000,0.322,0.1,1.2,4.8
3579,1000,0.327,0.1,1.1,4.8
3743,1000,0.331,0.1,1.1,4.8
3900,1000,0.334,0.1,1.2,4.8
4052,1000,0.337,0.1,1.2,4.8
4204,1000,0.339,0.1,1.2,4.8
4355,1000,0.341,0.1,1.2,4.8
4507,1000,0.343,0.1,1.2,4.8
4659,1000,0.343,0.0,1.2,4.8
4811,1000,0.343,0.0,1.2,4.8
4963,1000,0.339,0.1,1.2,4.8
5115,1000,0.337,0.1,1.2,4.8
5267,1000,0.335,0.1,1.2,4.8
5419,1000,0.333,0.1,1.2,4.8
5571,1000,0.331,0.1,1.2,4.8
5723,1000,0.33,0.1,1.2,4.8
5874,1000,0.328,0.1,1.2,4.8
6026,1000,0.328,0.1,1.2,4.8
6178,1000,0.323,0.1,1.1,4.8
6330,1000,0.318,0.0,1.1,4.8
6482,1000,0.312,0.1,1.1,4.8
6634,1000,0.308,0.1,1.1,4.8
6786,1000,0.304,0.2,1.1,4.7
6938,1000,0.309,1.4,-0.3,4.0
7090,1000,0.327,1.9,-3.6,3.1
7242,1000,0.372,2.5,-5.0,2.7
7393,1000,0.446,3.3,-5.1,1.9
7546,1000,0.55,4.8,-8.4,0.0
7698,1000,0.674,7.6,-13.0,-2.5
7850,1000,0.807,9.5,-15.0,-4.9
8002,1000,0.927,11.8,-12.4,-5.4
8155,1000,1.025,14.0,-8.1,-3.1
8306,1000,1.097,15.2,-4.5,-0.0
8458,1000,1.143,16.3,-3.5,3.8
8610,1000,1.166,18.1,-4.5,8.7
8764,1000,1.177,18.3,-5.7,14.2
8916,1000,1.177,20.3,-4.8,20.5
9068,1000,1.167,21.7,-2.4,27.7
9220,1000,1.163,21.4,0.3,34.6
9372,1000,1.167,21.4,2.4,41.1
9524,1000,1.17,21.3,4.0,46.7
9675,1000,1.175,21.2,5.3,52.3
9827,1000,1.187,20.2,5.4,57.6
9979,1000,1.199,20.0,4.8,62.3
10131,1000,1.204,20.9,4.1,65.4
10283,1000,1.196,20.7,4.1,66.9
10435,1000,1.19,21.1,5.1,68.2
10587,1000,1.192,20.4,6.5,68.8
10738,1000,1.194,19.2,7.3,69.2
10890,1000,1.194,18.3,7.7,70.0
11043,1000,1.183,19.5,7.3,70.4
11194,1000,1.178,21.2,6.1,71.7
11346,1000,1.192,22.3,5.4,75.0
11498,1000,1.215,22.4,5.4,79.1
11650,1000,1.223,23.4,4.3,82.7
11801,1000,1.216,24.2,2.0,84.5
11953,1000,1.216,24.7,-1.2,84.3
12105,1000,1.223,23.9,-3.3,82.2
12309,1000,0.336,20.8,0.9,79.9
12461,1000,0.335,0.7,0.8,-2.2
12613,1000,0.335,0.7,0.8,-2.6
12765,1000,0.334,0.4,1.1,-3.2
12917,1000,0.329,0.0,1.4,-3.5
13069,1000,0.323,0.2,1.2,-3.5
13221,1000,0.315,0.2,1.2,-3.5
13373,1000,0.309,0.2,1.1,-3.6
13524,1000,0.307,0.3,1.0,-3.7
13677,1000,0.305,0.3,1.0,-3.7
13829,1000,0.301,0.3,1.0,-3.7
13981,1000,0.298,0.3,1.0,-3.7
14133,1000,0.295,0.3,1.0,-3.7
14285,1000,0.29,0.3,1.0,-3.7
14438,1000,0.288,0.3,1.0,-3.6
Setting mode GUIDED...
Mode = GUIDED
14620,1000,0.239,0.3,1.0,-3.6
14780,1000,0.23,0.3,1.0,-3.6
14940,1000,0.221,0.3,1.0,-3.6
15104,1000,0.213,0.3,1.0,-3.6
15267,1000,0.204,0.3,1.0,-3.6
15431,1000,0.199,0.3,1.0,-3.6
15597,1000,0.195,0.3,1.0,-3.6
15761,1000,0.193,0.3,1.0,-3.6
15924,1000,0.19,0.3,1.0,-3.6
16087,1000,0.188,0.3,0.9,-3.6
16248,1000,0.189,0.3,0.9,-3.6
16402,1000,0.189,0.3,0.9,-3.6
16564,1000,0.188,0.3,0.9,-3.6
16728,1000,0.188,0.3,0.9,-3.6
16892,1000,0.189,0.3,0.9,-3.6
17056,1000,0.188,0.3,0.9,-3.6
17222,1000,0.187,0.3,0.9,-3.6
17386,1000,0.186,0.3,0.9,-3.6
17549,1000,0.187,0.3,0.9,-3.6
17712,1000,0.187,0.3,0.9,-3.6
17876,1000,0.187,0.3,0.9,-3.4
18040,1000,0.187,0.4,0.9,-2.2
18204,1000,0.188,0.4,0.9,1.1
18368,1000,0.188,0.4,1.0,3.8
18528,1000,0.187,0.4,1.0,3.8
18692,1000,0.187,0.4,1.0,3.8
18859,1000,0.186,0.4,0.9,3.9
19022,1000,0.185,0.4,0.9,3.9
19186,1000,0.184,0.4,0.9,3.8
19350,1000,0.183,0.4,0.9,3.8
19514,1000,0.186,0.4,0.9,3.8
19678,1000,0.189,0.4,0.9,3.8
19846,1000,0.194,0.4,0.9,3.8
20010,1000,0.198,0.4,0.9,3.8
20175,1000,0.203,0.4,0.9,3.8
20338,1000,0.206,0.4,0.9,3.8
20504,1000,0.207,0.4,0.9,3.9
20668,1000,0.208,0.4,0.9,3.9
20828,1000,0.208,0.4,0.9,3.9
20992,1000,0.209,0.4,0.9,3.9
21156,1000,0.209,0.4,0.9,3.9
21320,1000,0.209,0.4,0.9,3.9
21483,1000,0.209,0.4,0.9,3.9
21648,1000,0.21,0.4,0.9,3.9
21811,1000,0.21,0.4,0.9,3.9
21974,1000,0.21,0.4,0.9,3.9
22140,1000,0.212,0.4,0.9,3.9
22303,1000,0.214,0.4,0.9,3.9
22467,1000,0.217,0.4,0.9,3.9
22630,1000,0.22,0.4,0.9,3.9
22794,1000,0.223,0.4,0.9,3.9
22958,1000,0.226,0.4,0.9,3.9
23121,1000,0.228,0.4,0.8,3.9
23284,1000,0.229,0.4,0.8,3.9
23448,1000,0.23,0.4,0.8,3.8
23612,1000,0.231,0.4,0.9,3.8
23778,1000,0.229,0.4,0.9,3.8
23943,1000,0.228,0.4,0.9,3.9
24106,1000,0.227,0.4,0.9,3.9
24270,1000,0.225,0.4,0.9,3.8
24432,1000,0.225,0.4,0.9,3.8
24594,1000,0.225,0.4,0.9,3.8
24758,1000,0.224,0.4,0.9,3.8
24922,1000,0.224,0.4,0.9,3.8
25086,1000,0.224,0.4,0.9,3.8
25249,1000,0.224,0.4,0.9,3.8
25416,1000,0.224,0.4,0.9,3.8
25580,1000,0.222,0.4,0.9,3.9
25744,1000,0.218,0.4,0.9,3.9
25908,1000,0.213,0.4,0.9,3.9
26071,1000,0.209,0.4,0.9,3.9
26235,1000,0.205,0.4,0.9,3.9
26398,1000,0.202,0.4,0.9,3.9
26627,2000,0.064,0.4,0.9,3.9
Arming motors...
[FCU] Warning: Arming Checks Disabled
Armed
Takeoff to 4 m...
29601,2000,0.053,0.0,1.1,3.9
29753,2000,0.043,0.0,1.1,3.9
29905,2000,0.022,0.0,1.1,3.9
30057,2000,0.006,0.0,1.1,3.9
30209,2000,-0.016,0.0,1.1,3.9
30361,2000,-0.037,0.0,1.1,3.9
30513,2000,-0.064,0.0,1.1,3.9
30665,2000,-0.085,0.0,1.1,3.9
30817,2000,-0.112,0.1,1.1,3.9
30969,2000,-0.134,0.1,1.1,3.9
31121,2000,-0.159,0.1,1.1,3.9
31273,2000,-0.181,0.1,1.1,3.9
31425,2000,-0.207,0.1,1.1,3.9
31577,2000,-0.229,0.1,1.1,3.9
31729,2000,-0.255,0.1,1.1,3.9
31882,2000,-0.276,0.1,1.1,3.9
32034,2000,-0.301,0.1,1.1,3.9
32186,2000,-0.322,0.1,1.1,3.9
32338,2000,-0.348,0.1,1.1,3.9
32490,2000,-0.368,0.1,1.1,4.0
32642,2000,-0.393,0.2,1.1,4.0
32795,2000,-0.414,0.2,1.1,4.0
32946,2000,-0.44,0.1,1.2,4.1
33098,2000,-0.463,0.1,1.4,4.4
33251,2000,-0.491,-0.2,1.5,5.3
33403,2000,-0.51,-0.2,1.1,7.1
33555,2000,-0.527,1.1,-1.2,9.2
33706,2000,-0.528,0.8,-2.7,11.2
33858,2000,-0.52,-0.2,-3.6,12.8
34010,2000,-0.493,-0.9,-3.2,14.1
34163,2000,-0.456,-1.0,-2.6,14.9
34315,2000,-0.402,-1.0,-1.5,15.3
34467,2000,-0.341,-1.1,-0.9,15.4
34619,2000,-0.263,-1.1,-0.6,15.4
34770,2000,-0.18,-1.1,-0.7,15.2
34922,2000,-0.079,-1.6,-0.9,14.8
35074,2000,0.029,-1.9,-1.4,14.2
35226,2000,0.169,-2.2,-1.6,13.3
35379,2000,0.328,-2.4,-1.8,12.0
35531,2000,0.521,-2.1,-1.8,10.4
[FCU] EKF3 IMU0 MAG0 ground mag anomaly, yaw re-aligned
